day,hour,minute,car_park_name,time,weather,direction
6,0,8,Saint Finbarr's,3042,light rain,east
6,0,8,Merchants Quay,2803,light rain,east
6,0,8,Grand Parade,3307,light rain,south
6,0,8,Carrolls Quay,3440,light rain,south
6,0,8,City Hall - Eglington Street,3080,light rain,south
6,0,8,Black Ash Park & Ride,3008,light rain,south
6,0,8,North Main Street,3434,light rain,south
6,0,8,Paul Street,3390,light rain,south
6,0,8,Saint Finbarr's,2008,light rain,north
6,0,8,Merchants Quay,1951,light rain,north
6,0,8,Grand Parade,1922,light rain,north
6,0,8,Carrolls Quay,1817,light rain,north
6,0,8,Grand Parade,2915,light rain,east
6,0,8,City Hall - Eglington Street,1963,light rain,north
6,0,8,Black Ash Park & Ride,2212,light rain,north
6,0,8,North Main Street,1775,light rain,north
6,0,8,Paul Street,1683,light rain,north
6,0,8,Saint Finbarr's,2291,light rain,west
6,0,8,Merchants Quay,2112,light rain,west
6,0,8,Grand Parade,2189,light rain,west
6,0,8,Carrolls Quay,2301,light rain,west
6,0,8,City Hall - Eglington Street,1980,light rain,west
6,0,8,Black Ash Park & Ride,1904,light rain,west
6,0,8,Carrolls Quay,2787,light rain,east
6,0,8,North Main Street,2368,light rain,west
6,0,8,Paul Street,2277,light rain,west
6,0,8,City Hall - Eglington Street,2683,light rain,east
6,0,8,Black Ash Park & Ride,2674,light rain,east
6,0,8,North Main Street,2922,light rain,east
6,0,8,Paul Street,2833,light rain,east
6,0,8,Saint Finbarr's,3354,light rain,south
6,0,8,Merchants Quay,3219,light rain,south
6,0,18,Saint Finbarr's,3038,light rain,east
6,0,18,Merchants Quay,2820,light rain,east
6,0,18,Grand Parade,3416,light rain,south
6,0,18,Carrolls Quay,3457,light rain,south
6,0,18,City Hall - Eglington Street,3174,light rain,south
6,0,18,Black Ash Park & Ride,3106,light rain,south
6,0,18,North Main Street,3543,light rain,south
6,0,18,Paul Street,3439,light rain,south
6,0,18,Saint Finbarr's,1974,light rain,north
6,0,18,Merchants Quay,1909,light rain,north
6,0,18,Grand Parade,1900,light rain,north
6,0,18,Carrolls Quay,1792,light rain,north
6,0,18,Grand Parade,2933,light rain,east
6,0,18,City Hall - Eglington Street,1921,light rain,north
6,0,18,Black Ash Park & Ride,2164,light rain,north
6,0,18,North Main Street,1745,light rain,north
6,0,18,Paul Street,1656,light rain,north
6,0,18,Saint Finbarr's,2308,light rain,west
6,0,18,Merchants Quay,2108,light rain,west
6,0,18,Grand Parade,2223,light rain,west
6,0,18,Carrolls Quay,2326,light rain,west
6,0,18,City Hall - Eglington Street,1980,light rain,west
6,0,18,Black Ash Park & Ride,1904,light rain,west
6,0,18,Carrolls Quay,2808,light rain,east
6,0,18,North Main Street,2358,light rain,west
6,0,18,Paul Street,2279,light rain,west
6,0,18,City Hall - Eglington Street,2701,light rain,east
6,0,18,Black Ash Park & Ride,2673,light rain,east
6,0,18,North Main Street,2938,light rain,east
6,0,18,Paul Street,2849,light rain,east
6,0,18,Saint Finbarr's,3404,light rain,south
6,0,18,Merchants Quay,3294,light rain,south
6,0,28,Saint Finbarr's,3028,light rain,east
6,0,28,Merchants Quay,2775,light rain,east
6,0,28,Grand Parade,3454,light rain,south
6,0,28,Carrolls Quay,3536,light rain,south
6,0,28,City Hall - Eglington Street,3220,light rain,south
6,0,28,Black Ash Park & Ride,3152,light rain,south
6,0,28,North Main Street,3578,light rain,south
6,0,28,Paul Street,3500,light rain,south
6,0,28,Saint Finbarr's,1951,light rain,north
6,0,28,Merchants Quay,1893,light rain,north
6,0,28,Grand Parade,1884,light rain,north
6,0,28,Carrolls Quay,1799,light rain,north
6,0,28,Grand Parade,2928,light rain,east
6,0,28,City Hall - Eglington Street,1911,light rain,north
6,0,28,Black Ash Park & Ride,2129,light rain,north
6,0,28,North Main Street,1744,light rain,north
6,0,28,Paul Street,1654,light rain,north
6,0,28,Saint Finbarr's,2301,light rain,west
6,0,28,Merchants Quay,2119,light rain,west
6,0,28,Grand Parade,2207,light rain,west
6,0,28,Carrolls Quay,2339,light rain,west
6,0,28,City Hall - Eglington Street,1979,light rain,west
6,0,28,Black Ash Park & Ride,1907,light rain,west
6,0,28,Carrolls Quay,2721,light rain,east
6,0,28,North Main Street,2351,light rain,west
6,0,28,Paul Street,2290,light rain,west
6,0,28,City Hall - Eglington Street,2681,light rain,east
6,0,28,Black Ash Park & Ride,2649,light rain,east
6,0,28,North Main Street,2875,light rain,east
6,0,28,Paul Street,2792,light rain,east
6,0,28,Saint Finbarr's,3455,light rain,south
6,0,28,Merchants Quay,3343,light rain,south
6,0,38,Saint Finbarr's,3023,light rain,east
6,0,38,Merchants Quay,2767,light rain,east
6,0,38,Grand Parade,3459,light rain,south
6,0,38,Carrolls Quay,3558,light rain,south
6,0,38,City Hall - Eglington Street,3234,light rain,south
6,0,38,Black Ash Park & Ride,3166,light rain,south
6,0,38,North Main Street,3584,light rain,south
6,0,38,Paul Street,3531,light rain,south
6,0,38,Saint Finbarr's,1973,light rain,north
6,0,38,Merchants Quay,1872,light rain,north
6,0,38,Grand Parade,1876,light rain,north
6,0,38,Carrolls Quay,1791,light rain,north
6,0,38,Grand Parade,2909,light rain,east
6,0,38,City Hall - Eglington Street,1888,light rain,north
6,0,38,Black Ash Park & Ride,2135,light rain,north
6,0,38,North Main Street,1736,light rain,north
6,0,38,Paul Street,1647,light rain,north
6,0,38,Saint Finbarr's,2326,light rain,west
6,0,38,Merchants Quay,2102,light rain,west
6,0,38,Grand Parade,2225,light rain,west
6,0,38,Carrolls Quay,2265,light rain,west
6,0,38,City Hall - Eglington Street,1982,light rain,west
6,0,38,Black Ash Park & Ride,1914,light rain,west
6,0,38,Carrolls Quay,2736,light rain,east
6,0,38,North Main Street,2387,light rain,west
6,0,38,Paul Street,2247,light rain,west
6,0,38,City Hall - Eglington Street,2679,light rain,east
6,0,38,Black Ash Park & Ride,2653,light rain,east
6,0,38,North Main Street,2888,light rain,east
6,0,38,Paul Street,2799,light rain,east
6,0,38,Saint Finbarr's,3495,light rain,south
6,0,38,Merchants Quay,3374,light rain,south
6,0,48,Saint Finbarr's,3034,light rain,east
6,0,48,Merchants Quay,2786,light rain,east
6,0,48,Grand Parade,3318,light rain,south
6,0,48,Carrolls Quay,3499,light rain,south
6,0,48,City Hall - Eglington Street,3114,light rain,south
6,0,48,Black Ash Park & Ride,3053,light rain,south
6,0,48,North Main Street,3481,light rain,south
6,0,48,Paul Street,3410,light rain,south
6,0,48,Saint Finbarr's,1953,light rain,north
6,0,48,Merchants Quay,1852,light rain,north
6,0,48,Grand Parade,1863,light rain,north
6,0,48,Carrolls Quay,1762,light rain,north
6,0,48,Grand Parade,2922,light rain,east
6,0,48,City Hall - Eglington Street,1868,light rain,north
6,0,48,Black Ash Park & Ride,2119,light rain,north
6,0,48,North Main Street,1707,light rain,north
6,0,48,Paul Street,1624,light rain,north
6,0,48,Saint Finbarr's,2302,light rain,west
6,0,48,Merchants Quay,2074,light rain,west
6,0,48,Grand Parade,2198,light rain,west
6,0,48,Carrolls Quay,2265,light rain,west
6,0,48,City Hall - Eglington Street,1954,light rain,west
6,0,48,Black Ash Park & Ride,1886,light rain,west
6,0,48,Carrolls Quay,2767,light rain,east
6,0,48,North Main Street,2363,light rain,west
6,0,48,Paul Street,2231,light rain,west
6,0,48,City Hall - Eglington Street,2691,light rain,east
6,0,48,Black Ash Park & Ride,2682,light rain,east
6,0,48,North Main Street,2906,light rain,east
6,0,48,Paul Street,2817,light rain,east
6,0,48,Saint Finbarr's,3371,light rain,south
6,0,48,Merchants Quay,3234,light rain,south
6,0,58,Saint Finbarr's,3055,light rain,east
6,0,58,Merchants Quay,2789,light rain,east
6,0,58,Grand Parade,3303,light rain,south
6,0,58,Carrolls Quay,3410,light rain,south
6,0,58,City Hall - Eglington Street,3094,light rain,south
6,0,58,Black Ash Park & Ride,3032,light rain,south
6,0,58,North Main Street,3459,light rain,south
6,0,58,Paul Street,3370,light rain,south
6,0,58,Saint Finbarr's,1947,light rain,north
6,0,58,Merchants Quay,1878,light rain,north
6,0,58,Grand Parade,1915,light rain,north
6,0,58,Carrolls Quay,1819,light rain,north
6,0,58,Grand Parade,2893,light rain,east
6,0,58,City Hall - Eglington Street,1886,light rain,north
6,0,58,Black Ash Park & Ride,2146,light rain,north
6,0,58,North Main Street,1759,light rain,north
6,0,58,Paul Street,1671,light rain,north
6,0,58,Saint Finbarr's,2300,light rain,west
6,0,58,Merchants Quay,2109,light rain,west
6,0,58,Grand Parade,2195,light rain,west
6,0,58,Carrolls Quay,2293,light rain,west
6,0,58,City Hall - Eglington Street,1969,light rain,west
6,0,58,Black Ash Park & Ride,1901,light rain,west
6,0,58,Carrolls Quay,2803,light rain,east
6,0,58,North Main Street,2361,light rain,west
