day,hour,minute,car_park_name,weather,direction
1,0,0,Saint Finbarr's,scattered clouds,north
1,0,30,Saint Finbarr's,scattered clouds,north
1,1,0,Saint Finbarr's,scattered clouds,north
1,1,30,Saint Finbarr's,scattered clouds,north
1,2,0,Saint Finbarr's,scattered clouds,north
1,2,30,Saint Finbarr's,scattered clouds,north
1,3,0,Saint Finbarr's,scattered clouds,north
1,3,30,Saint Finbarr's,scattered clouds,north
1,4,0,Saint Finbarr's,scattered clouds,north
1,4,30,Saint Finbarr's,scattered clouds,north
1,5,0,Saint Finbarr's,scattered clouds,north
1,5,30,Saint Finbarr's,scattered clouds,north
1,6,0,Saint Finbarr's,scattered clouds,north
1,6,30,Saint Finbarr's,scattered clouds,north
1,7,0,Saint Finbarr's,scattered clouds,north
1,7,30,Saint Finbarr's,scattered clouds,north
1,8,0,Saint Finbarr's,scattered clouds,north
1,8,30,Saint Finbarr's,scattered clouds,north
1,9,0,Saint Finbarr's,scattered clouds,north
1,9,30,Saint Finbarr's,scattered clouds,north
1,10,0,Saint Finbarr's,scattered clouds,north
1,10,30,Saint Finbarr's,scattered clouds,north
1,11,0,Saint Finbarr's,scattered clouds,north
1,11,30,Saint Finbarr's,scattered clouds,north
1,12,0,Saint Finbarr's,scattered clouds,north
1,12,30,Saint Finbarr's,scattered clouds,north
1,13,0,Saint Finbarr's,scattered clouds,north
1,13,30,Saint Finbarr's,scattered clouds,north
1,14,0,Saint Finbarr's,scattered clouds,north
1,14,30,Saint Finbarr's,scattered clouds,north
1,15,0,Saint Finbarr's,scattered clouds,north
1,15,30,Saint Finbarr's,scattered clouds,north
1,16,0,Saint Finbarr's,scattered clouds,north
1,16,30,Saint Finbarr's,scattered clouds,north
1,17,0,Saint Finbarr's,scattered clouds,north
1,17,30,Saint Finbarr's,scattered clouds,north
1,18,0,Saint Finbarr's,scattered clouds,north
1,18,30,Saint Finbarr's,scattered clouds,north
1,19,0,Saint Finbarr's,scattered clouds,north
1,19,30,Saint Finbarr's,scattered clouds,north
1,20,0,Saint Finbarr's,scattered clouds,north
1,20,30,Saint Finbarr's,scattered clouds,north
1,21,0,Saint Finbarr's,scattered clouds,north
1,21,30,Saint Finbarr's,scattered clouds,north
1,22,0,Saint Finbarr's,scattered clouds,north
1,22,30,Saint Finbarr's,scattered clouds,north
1,23,0,Saint Finbarr's,scattered clouds,north
1,23,30,Saint Finbarr's,scattered clouds,north
1,0,0,Merchants Quay,scattered clouds,north
1,0,30,Merchants Quay,scattered clouds,north
1,1,0,Merchants Quay,scattered clouds,north
1,1,30,Merchants Quay,scattered clouds,north
1,2,0,Merchants Quay,scattered clouds,north
1,2,30,Merchants Quay,scattered clouds,north
1,3,0,Merchants Quay,scattered clouds,north
1,3,30,Merchants Quay,scattered clouds,north
1,4,0,Merchants Quay,scattered clouds,north
1,4,30,Merchants Quay,scattered clouds,north
1,5,0,Merchants Quay,scattered clouds,north
1,5,30,Merchants Quay,scattered clouds,north
1,6,0,Merchants Quay,scattered clouds,north
1,6,30,Merchants Quay,scattered clouds,north
1,7,0,Merchants Quay,scattered clouds,north
1,7,30,Merchants Quay,scattered clouds,north
1,8,0,Merchants Quay,scattered clouds,north
1,8,30,Merchants Quay,scattered clouds,north
1,9,0,Merchants Quay,scattered clouds,north
1,9,30,Merchants Quay,scattered clouds,north
1,10,0,Merchants Quay,scattered clouds,north
1,10,30,Merchants Quay,scattered clouds,north
1,11,0,Merchants Quay,scattered clouds,north
1,11,30,Merchants Quay,scattered clouds,north
1,12,0,Merchants Quay,scattered clouds,north
1,12,30,Merchants Quay,scattered clouds,north
1,13,0,Merchants Quay,scattered clouds,north
1,13,30,Merchants Quay,scattered clouds,north
1,14,0,Merchants Quay,scattered clouds,north
1,14,30,Merchants Quay,scattered clouds,north
1,15,0,Merchants Quay,scattered clouds,north
1,15,30,Merchants Quay,scattered clouds,north
1,16,0,Merchants Quay,scattered clouds,north
1,16,30,Merchants Quay,scattered clouds,north
1,17,0,Merchants Quay,scattered clouds,north
1,17,30,Merchants Quay,scattered clouds,north
1,18,0,Merchants Quay,scattered clouds,north
1,18,30,Merchants Quay,scattered clouds,north
1,19,0,Merchants Quay,scattered clouds,north
1,19,30,Merchants Quay,scattered clouds,north
1,20,0,Merchants Quay,scattered clouds,north
1,20,30,Merchants Quay,scattered clouds,north
1,21,0,Merchants Quay,scattered clouds,north
1,21,30,Merchants Quay,scattered clouds,north
1,22,0,Merchants Quay,scattered clouds,north
1,22,30,Merchants Quay,scattered clouds,north
1,23,0,Merchants Quay,scattered clouds,north
1,23,30,Merchants Quay,scattered clouds,north
1,0,0,Grand Parade,scattered clouds,north
1,0,30,Grand Parade,scattered clouds,north
